user_id,device,channel,country,age_group,step,step_order,timestamp,session_sec,pages_viewed,dropped_at
B040644C,mobile,referral,Germany,35-44,visit,1,2024-05-04 03:56:41,58,4,signup
A1B7841B,mobile,organic_search,India,45-54,visit,1,2024-01-22 14:50:25,144,3,signup
03C6A474,desktop,social_media,India,55+,visit,1,2024-01-05 20:33:30,163,4,add_to_cart
03C6A474,desktop,social_media,India,55+,signup,2,2024-01-05 20:47:03,65,2,add_to_cart
A10D2C8F,desktop,organic_search,India,18-24,visit,1,2024-05-23 23:52:32,94,6,checkout
A10D2C8F,desktop,organic_search,India,18-24,signup,2,2024-05-23 23:58:59,113,2,checkout
A10D2C8F,desktop,organic_search,India,18-24,add_to_cart,3,2024-05-24 00:06:30,152,9,checkout
CF12E4F2,mobile,paid_ads,USA,25-34,visit,1,2024-02-23 09:43:46,27,4,signup
A8F37D32,desktop,organic_search,India,25-34,visit,1,2024-02-17 13:16:43,51,1,purchase
A8F37D32,desktop,organic_search,India,25-34,signup,2,2024-02-17 13:28:19,81,4,purchase
A8F37D32,desktop,organic_search,India,25-34,add_to_cart,3,2024-02-17 13:46:12,497,6,purchase
A8F37D32,desktop,organic_search,India,25-34,checkout,4,2024-02-17 13:55:49,157,6,purchase
8D2DE076,mobile,email,India,25-34,visit,1,2024-02-13 08:14:14,27,1,checkout
8D2DE076,mobile,email,India,25-34,signup,2,2024-02-13 09:13:58,131,2,checkout
8D2DE076,mobile,email,India,25-34,add_to_cart,3,2024-02-13 09:51:52,235,6,checkout
38BF95DF,mobile,organic_search,UK,18-24,visit,1,2024-01-28 02:17:37,113,2,signup
FE71D036,mobile,direct,Singapore,45-54,visit,1,2024-05-23 00:12:16,82,4,add_to_cart
FE71D036,mobile,direct,Singapore,45-54,signup,2,2024-05-23 00:56:55,184,2,add_to_cart
C36895AA,mobile,organic_search,UK,25-34,visit,1,2024-01-20 21:39:43,85,2,signup
7EBB99A2,mobile,paid_ads,India,45-54,visit,1,2024-05-11 09:38:53,80,3,signup
8A3227D2,mobile,social_media,India,25-34,visit,1,2024-05-23 19:45:42,57,2,checkout
8A3227D2,mobile,social_media,India,25-34,signup,2,2024-05-23 19:46:42,181,1,checkout
8A3227D2,mobile,social_media,India,25-34,add_to_cart,3,2024-05-23 20:19:43,369,2,checkout
9CB3FF48,mobile,organic_search,Singapore,35-44,visit,1,2024-06-22 05:51:29,86,4,add_to_cart
9CB3FF48,mobile,organic_search,Singapore,35-44,signup,2,2024-06-22 06:44:46,158,2,add_to_cart
62258307,tablet,direct,USA,55+,visit,1,2024-04-15 21:35:32,31,3,checkout
62258307,tablet,direct,USA,55+,signup,2,2024-04-15 22:14:48,171,2,checkout
62258307,tablet,direct,USA,55+,add_to_cart,3,2024-04-15 23:04:36,497,7,checkout
705F1088,mobile,organic_search,India,25-34,visit,1,2024-01-17 21:09:51,72,2,
705F1088,mobile,organic_search,India,25-34,signup,2,2024-01-17 21:39:40,109,2,
705F1088,mobile,organic_search,India,25-34,add_to_cart,3,2024-01-17 22:31:23,368,8,
705F1088,mobile,organic_search,India,25-34,checkout,4,2024-01-17 22:45:13,107,3,
705F1088,mobile,organic_search,India,25-34,purchase,5,2024-01-17 22:53:45,45,2,
871459F2,mobile,organic_search,Canada,25-34,visit,1,2024-04-24 15:53:40,58,4,add_to_cart
871459F2,mobile,organic_search,Canada,25-34,signup,2,2024-04-24 15:55:59,86,1,add_to_cart
BFBABA27,mobile,paid_ads,India,45-54,visit,1,2024-03-22 22:17:53,26,2,signup
84327223,mobile,referral,Germany,18-24,visit,1,2024-01-07 04:07:04,60,3,checkout
84327223,mobile,referral,Germany,18-24,signup,2,2024-01-07 04:37:59,50,1,checkout
84327223,mobile,referral,Germany,18-24,add_to_cart,3,2024-01-07 04:39:59,348,3,checkout
75508668,mobile,email,UK,35-44,visit,1,2024-01-06 18:51:54,63,4,signup
533B8E70,desktop,organic_search,USA,18-24,visit,1,2024-01-19 04:39:05,148,6,signup
9D26E595,desktop,social_media,India,18-24,visit,1,2024-02-12 10:55:36,114,1,signup
80FDE6E1,mobile,paid_ads,Germany,35-44,visit,1,2024-02-15 04:16:42,42,1,checkout
80FDE6E1,mobile,paid_ads,Germany,35-44,signup,2,2024-02-15 04:44:29,66,2,checkout
80FDE6E1,mobile,paid_ads,Germany,35-44,add_to_cart,3,2024-02-15 05:42:55,224,8,checkout
B03B37B3,desktop,paid_ads,India,35-44,visit,1,2024-04-08 03:07:34,33,1,signup
4E717DC8,desktop,social_media,Germany,25-34,visit,1,2024-04-26 21:36:38,93,4,signup
0E29475C,mobile,paid_ads,India,18-24,visit,1,2024-01-06 03:39:59,80,2,signup
AB541D4C,mobile,social_media,India,25-34,visit,1,2024-04-18 23:35:29,28,2,add_to_cart
AB541D4C,mobile,social_media,India,25-34,signup,2,2024-04-19 00:29:06,72,1,add_to_cart
18183A29,desktop,organic_search,USA,35-44,visit,1,2024-02-08 14:39:02,109,3,purchase
18183A29,desktop,organic_search,USA,35-44,signup,2,2024-02-08 15:29:44,70,1,purchase
18183A29,desktop,organic_search,USA,35-44,add_to_cart,3,2024-02-08 16:14:19,272,5,purchase
18183A29,desktop,organic_search,USA,35-44,checkout,4,2024-02-08 16:18:52,431,3,purchase
7173D544,mobile,organic_search,India,18-24,visit,1,2024-05-19 00:53:35,54,4,add_to_cart
7173D544,mobile,organic_search,India,18-24,signup,2,2024-05-19 01:06:00,118,1,add_to_cart
380C78E8,tablet,email,UK,45-54,visit,1,2024-05-06 04:40:51,92,1,signup
53DE2858,desktop,organic_search,Australia,25-34,visit,1,2024-05-16 04:24:40,178,6,
53DE2858,desktop,organic_search,Australia,25-34,signup,2,2024-05-16 05:06:22,99,3,
53DE2858,desktop,organic_search,Australia,25-34,add_to_cart,3,2024-05-16 05:24:20,200,9,
53DE2858,desktop,organic_search,Australia,25-34,checkout,4,2024-05-16 06:07:33,263,7,
53DE2858,desktop,organic_search,Australia,25-34,purchase,5,2024-05-16 06:32:49,29,1,
314D32BA,desktop,direct,India,18-24,visit,1,2024-04-15 19:36:40,62,4,add_to_cart
314D32BA,desktop,direct,India,18-24,signup,2,2024-04-15 20:15:47,225,3,add_to_cart
A264D0EE,mobile,paid_ads,Canada,45-54,visit,1,2024-03-22 11:06:14,80,2,checkout
A264D0EE,mobile,paid_ads,Canada,45-54,signup,2,2024-03-22 11:33:01,139,1,checkout
A264D0EE,mobile,paid_ads,Canada,45-54,add_to_cart,3,2024-03-22 11:36:42,344,7,checkout
947E5B0B,mobile,paid_ads,USA,25-34,visit,1,2024-02-12 19:19:39,61,4,checkout
947E5B0B,mobile,paid_ads,USA,25-34,signup,2,2024-02-12 19:33:23,187,2,checkout
947E5B0B,mobile,paid_ads,USA,25-34,add_to_cart,3,2024-02-12 20:06:21,236,8,checkout
C6B77847,mobile,paid_ads,Singapore,25-34,visit,1,2024-03-28 05:27:57,141,2,add_to_cart
C6B77847,mobile,paid_ads,Singapore,25-34,signup,2,2024-03-28 05:39:31,163,2,add_to_cart
57D3CAD1,mobile,social_media,USA,55+,visit,1,2024-04-24 10:10:37,93,3,signup
960C1FFE,tablet,organic_search,USA,25-34,visit,1,2024-02-24 00:27:45,159,4,add_to_cart
960C1FFE,tablet,organic_search,USA,25-34,signup,2,2024-02-24 00:30:01,218,2,add_to_cart
BC04BA3F,mobile,organic_search,UK,25-34,visit,1,2024-06-06 04:13:09,54,3,signup
22156AA0,mobile,organic_search,Australia,25-34,visit,1,2024-06-17 19:13:59,108,4,add_to_cart
22156AA0,mobile,organic_search,Australia,25-34,signup,2,2024-06-17 20:01:37,175,1,add_to_cart
3C08A32F,mobile,paid_ads,Singapore,25-34,visit,1,2024-01-02 06:17:11,65,4,signup
71938D51,desktop,email,India,35-44,visit,1,2024-05-27 08:17:55,58,1,
71938D51,desktop,email,India,35-44,signup,2,2024-05-27 08:23:28,71,2,
71938D51,desktop,email,India,35-44,add_to_cart,3,2024-05-27 08:26:36,223,3,
71938D51,desktop,email,India,35-44,checkout,4,2024-05-27 08:34:20,106,6,
71938D51,desktop,email,India,35-44,purchase,5,2024-05-27 09:01:51,51,3,
9BAE7753,mobile,social_media,UK,25-34,visit,1,2024-06-05 11:23:23,30,3,add_to_cart
9BAE7753,mobile,social_media,UK,25-34,signup,2,2024-06-05 12:13:23,66,1,add_to_cart
2A396169,mobile,email,India,18-24,visit,1,2024-02-01 00:03:58,50,4,signup
3A96DA3F,mobile,social_media,UK,18-24,visit,1,2024-05-15 13:33:55,130,1,signup
99BE8A1A,mobile,organic_search,UK,18-24,visit,1,2024-03-23 01:31:33,105,1,add_to_cart
99BE8A1A,mobile,organic_search,UK,18-24,signup,2,2024-03-23 02:23:18,154,2,add_to_cart
